blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,36.8
1,39,21,57,4.571428571428571,21,39,33,1.3846153846153846,104160,316956,255968,312269,0,143858,526981,0,104160,0,255968,460814,35.2,35.2
1,39,17,62,5.941176470588236,17,39,24,1.051282051282051,380993,0,259392,341096,280704,0,0,200730,0,105672,640385,235424,39.2,40.0
1,24,10,29,5.3,10,24,7,0.7083333333333334,148729,69850,63500,122045,154646,0,86262,0,0,102528,239875,122455,37.6,39.2
0,17,31,30,1.5161290322580645,31,17,48,4.647058823529412,90530,341640,138164,208065,196575,249008,344474,202245,90530,208065,196575,341640,39.2,36.8
0,9,16,9,1.125,16,9,11,3.0,82775,0,70210,90717,165248,53640,105898,132970,23828,90717,82775,53640,36.0,35.2
0,17,33,20,1.121212121212121,32,17,65,5.705882352941177,221724,66940,0,0,134628,162456,81081,0,0,0,221724,229396,39.2,35.8
0,17,39,36,1.358974358974359,39,17,51,5.294117647058823,275756,0,349989,216135,0,547884,130286,209535,130286,115824,311900,215925,36.0,34.4
1,1,2,0,0.5,2,1,3,5.0,29808,16059,16446,0,0,11344,0,17164,16446,5964,29808,15515,37.6,36.0
0,12,22,26,1.7272727272727273,22,12,27,4.083333333333333,104394,37400,169194,63290,0,226068,38984,185756,62800,108820,0,0,38.4,38.4
1,30,24,58,3.6666666666666665,23,30,47,2.333333333333333,144014,0,0,318648,208905,491780,171416,196050,0,112788,144014,697640,37.6,38.4
0,21,28,34,1.9642857142857144,28,21,48,3.619047619047619,224910,317658,311162,427902,196830,282200,342820,0,165172,176414,142883,851346,40.0,35.2
0,9,18,10,1.0555555555555556,18,9,31,5.444444444444445,0,117108,129910,162927,129493,0,81477,0,129910,162927,129493,117108,35.2,34.4
1,33,21,42,3.571428571428572,21,34,28,1.4411764705882353,253952,0,280636,138333,345164,0,146926,245913,104940,131443,774812,0,35.2,36.8
1,37,18,59,5.333333333333333,18,37,15,0.8918918918918919,330437,140283,204030,198554,0,114624,201915,223344,204030,61560,330437,277277,36.0,38.4
1,42,26,80,4.6923076923076925,26,42,59,2.023809523809524,473715,241328,511376,174118,0,236992,0,175182,250192,174118,473715,478320,38.4,36.0
0,8,23,6,0.6086956521739131,23,8,36,7.375,0,198435,255635,244111,257964,0,85283,196185,170352,440296,257964,198435,36.0,37.6
1,45,37,73,3.189189189189189,37,45,51,1.9555555555555555,395208,286858,663196,527219,304793,358992,253616,220335,242752,552084,1120445,891050,36.0,37.6
1,40,26,70,4.230769230769231,26,40,40,1.65,0,0,419788,161266,468364,200325,179256,179214,131638,243689,756514,282748,35.2,36.8
0,29,35,58,2.4857142857142858,35,29,69,3.586206896551724,179480,135746,381580,282302,381580,399138,207150,635154,116268,0,179480,135746,33.6,31.6
1,31,22,53,3.8181818181818175,22,31,43,2.096774193548387,0,236064,957642,282710,310896,0,1397646,298401,212820,0,0,0,37.6,40.0
1,37,24,45,3.4166666666666665,24,37,28,1.4054054054054057,0,83776,117300,115392,134108,156672,251408,108528,0,181622,165312,174218,34.4,35.2
0,7,24,11,0.75,24,7,27,7.285714285714286,91759,0,0,62570,115296,87494,61620,63640,0,0,145435,150064,37.6,36.0
0,20,35,28,1.3714285714285714,35,20,51,4.3,218310,138164,143819,562946,0,285464,308011,538450,92488,260176,218310,423628,34.4,37.6
0,17,32,16,1.03125,32,17,44,4.470588235294118,117408,290958,144040,148382,160419,196905,93203,361839,50175,93423,227652,197535,35.2,36.8
1,13,3,11,8.0,3,13,6,0.6923076923076923,294320,82984,145202,173804,0,70470,83072,71220,62130,63740,294320,153454,34.2,34.4
0,27,39,53,2.051282051282051,39,27,69,4.0,528962,216435,720738,628436,0,727640,291703,305864,0,293726,528962,972921,39.2,34.4
0,6,17,7,0.7647058823529411,17,6,21,6.333333333333333,0,71170,88550,117287,106184,92840,51777,147407,88550,0,106184,133890,36.0,33.6
1,29,23,46,3.260869565217391,23,29,31,1.862068965517241,342878,462253,0,0,251872,176428,0,145587,0,0,594750,638681,35.0,35.2
1,29,18,60,4.944444444444445,18,29,25,1.4827586206896552,0,230830,103968,132132,179788,142688,141531,244836,103968,0,385003,373518,31.8,33.6
1,26,9,32,6.444444444444445,9,26,7,0.6153846153846154,90013,0,52929,24773,102064,111780,67320,64260,87673,24773,90013,111780,35.0,34.2
1,30,27,43,2.703703703703704,27,30,47,2.466666666666667,0,286233,214965,427556,253552,0,262496,173684,349775,245696,134810,468093,34.4,33.6
1,24,14,36,4.285714285714286,14,24,26,1.6666666666666667,269005,90024,0,112548,373761,352954,355493,173264,0,112548,435031,179690,34.4,34.2
0,26,24,30,2.333333333333333,23,26,49,2.769230769230769,296673,0,70150,164458,0,216525,108672,336196,70150,0,405345,216525,35.2,35.2
1,33,27,66,3.6666666666666665,27,33,48,2.272727272727273,0,235568,143624,374060,507376,0,249424,258272,143624,115788,257792,235568,35.0,31.8
1,36,17,33,4.0588235294117645,17,36,23,1.1111111111111112,111792,108612,69430,110076,91520,0,140972,67300,0,0,272742,218688,35.2,38.4
0,22,25,27,1.96,25,22,50,3.409090909090909,252566,320685,0,210060,207540,411390,296202,372242,0,0,252566,320685,36.0,35.2
1,47,20,87,6.7,20,47,21,0.8723404255319149,427914,226355,428896,148512,248320,361062,180768,161070,0,0,676234,226355,36.0,32.0
